p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.44048416304428e-48	0.260611454242304	0.993	0.969	1.15414431034821e-43	Tex-term	Gimap3
6.07846325146927e-48	0.308792828025529	0.701	0.576	1.28948519416669e-43	Tex-term	Arid5b
1.7919728907456e-47	0.250765952790102	0.995	0.988	3.80149129042771e-43	Tex-term	Klrk1
1.37528729498423e-46	0.326781683364301	0.905	0.853	2.91753446757955e-42	Tex-term	Malt1
1.63658233869285e-46	0.314310710467102	0.822	0.745	3.47184577330301e-42	Tex-term	Ubash3b
1.00913959868762e-45	0.255645917740026	0.513	0.362	2.14078874465592e-41	Tex-term	6720464F23Rik
1.88817214636642e-45	0.274262607049432	0.944	0.891	4.00556839130172e-41	Tex-term	Casp3
8.74592115660694e-45	0.278248773924364	0.79	0.707	1.8553597141626e-40	Tex-term	Pold4
1.45557663208794e-44	0.290450198099984	0.774	0.684	3.08786026731136e-40	Tex-term	Nfatc1
1.56298515525867e-44	0.349881560290028	0.929	0.89	3.31571670836575e-40	Tex-term	Stat1
3.11895394153073e-44	0.250283719539676	0.938	0.888	6.61654889156329e-40	Tex-term	Limd2
1.09903224983372e-43	0.284447873688631	0.893	0.837	2.33148701479726e-39	Tex-term	Peli1
1.20235402876731e-42	0.271266118074486	0.942	0.917	2.55067383662696e-38	Tex-term	Inpp4b
1.3895990372662e-42	0.340438658039045	0.625	0.495	2.94789539765652e-38	Tex-term	Csf1
1.98350855579896e-42	0.421947121046149	0.681	0.569	4.20781505027192e-38	Tex-term	Itga4
5.91909312011904e-42	0.254962294293993	0.914	0.866	1.25567641450205e-37	Tex-term	Itgal
1.36971656633874e-41	0.250084707901027	0.97	0.942	2.90571672383101e-37	Tex-term	2410006H16Rik
2.74756376938542e-41	0.279482852687853	0.96	0.934	5.82868178037424e-37	Tex-term	Pdcd4
3.05330288957401e-41	0.265815641346234	0.881	0.842	6.4772767499423e-37	Tex-term	Macf1
8.65430659291516e-41	0.273701157040938	0.696	0.583	1.83592460062102e-36	Tex-term	Jarid2
1.42625469080429e-40	0.281438998466933	0.658	0.534	3.02565670107223e-36	Tex-term	Mxd4
2.34936065855151e-40	0.280542598727003	0.855	0.79	4.98393370105118e-36	Tex-term	Nabp1
1.57202690912674e-39	0.279151879381428	0.812	0.742	3.33489788502147e-35	Tex-term	Atxn1
3.15565439918708e-38	0.267184909864265	0.722	0.625	6.69440524243548e-34	Tex-term	Ipcef1
4.63677038235624e-38	0.270472077011804	0.558	0.425	9.83644468913054e-34	Tex-term	Gm44175
2.04837024258711e-37	0.257872821390492	0.842	0.764	4.34541263262429e-33	Tex-term	Gm4759
9.12380362170579e-36	0.283423624306471	0.964	0.939	1.93552370030867e-31	Tex-term	Vps37b
2.24217860619245e-35	0.334634171693756	0.542	0.419	4.75655769517667e-31	Tex-term	Cx3cr1
2.51434128767168e-35	0.288143770247117	0.795	0.707	5.3339236076667e-31	Tex-term	Mir6236
5.53620531166444e-35	0.282547833074897	0.723	0.634	1.17445059481649e-30	Tex-term	Il10ra
7.18811900844189e-35	0.301231891896977	0.798	0.712	1.52488756645086e-30	Tex-term	Gm1966
9.27913896633148e-35	0.333934995958985	0.761	0.66	1.96847654031756e-30	Tex-term	Gm36723
2.34236443727433e-33	0.252518917694447	0.994	0.99	4.96909191723376e-29	Tex-term	Cd8b1
9.36585733388582e-33	0.260923621139164	0.976	0.953	1.98687297481054e-28	Tex-term	Gm8995
1.35337344610863e-32	0.273373756445312	0.698	0.597	2.87104642857484e-28	Tex-term	Gbp9
9.46135916902137e-32	0.367771856509914	0.638	0.534	2.00713273411619e-27	Tex-term	Ier5l
1.63544398624173e-31	0.293607485526421	0.989	0.973	3.4694308724132e-27	Tex-term	Ifi203
2.0137764272696e-31	0.36222532521523	0.857	0.784	4.27202531280974e-27	Tex-term	Rgs16
1.22940410420734e-30	0.294321112623801	0.811	0.725	2.60805786666546e-26	Tex-term	Ifi213
3.81010275921465e-29	0.254392809736008	0.801	0.746	8.08275199339796e-25	Tex-term	Ikzf3
9.22216787205584e-29	0.501617715490629	0.403	0.293	1.95639069237793e-24	Tex-term	Slc17a6
3.4897433387938e-28	0.281655309856627	0.907	0.849	7.40314151891717e-24	Tex-term	Ifi206
1.96906693881683e-27	0.26043307622766	0.508	0.404	4.17717860400603e-23	Tex-term	Alcam
1.12742970369775e-26	0.25816769209814	0.851	0.807	2.39172937342441e-22	Tex-term	Dusp5
1.58071298220185e-26	0.309379706289638	0.84	0.796	3.353324520443e-22	Tex-term	Parp14
9.02964592211443e-26	0.346586456679593	0.831	0.757	1.91554908591735e-21	Tex-term	Ccl4
1.00328086266786e-25	0.259679091377561	0.927	0.884	2.1283600220636e-21	Tex-term	Ifi209
1.72989296242679e-25	0.291209620428711	0.365	0.26	3.6697949304922e-21	Tex-term	Serpina3f
1.05058530604835e-24	0.508621720867344	0.606	0.521	2.22871166825097e-20	Tex-term	Klrh1
1.37153172118138e-23	0.411189371152668	0.763	0.715	2.90956739331418e-19	Tex-term	Ccl5
1.39965943947203e-23	0.266157413262602	0.859	0.797	2.96923753489596e-19	Tex-term	Ifi214
1.46992354525996e-23	0.294527056803699	0.697	0.621	3.11829580891447e-19	Tex-term	Dusp1
3.14315044647922e-22	0.251488060921121	0.774	0.706	6.66787935716103e-18	Tex-term	Slfn8
1.2532029509005e-21	0.367843151277183	0.539	0.437	2.65854474004033e-17	Tex-term	Gm6545
1.51912189077998e-21	0.268062657287977	0.79	0.738	3.22266517910064e-17	Tex-term	Rnf213
4.01474792053759e-21	0.374014879468713	0.439	0.336	8.51688623862845e-17	Tex-term	Ccl3
8.19632663351755e-21	0.252261505596459	0.854	0.81	1.73876873203441e-16	Tex-term	9930111J21Rik2
1.05655356465495e-20	0.251894035352816	0.615	0.531	2.24137273205901e-16	Tex-term	Trim30d
2.12666997267276e-20	0.257651769508685	0.913	0.89	4.511517680028e-16	Tex-term	Trim30a
9.40099147543773e-20	0.476201812650659	0.59	0.496	1.99432633159936e-15	Tex-term	Ifit3
1.83607749363259e-19	0.276216512500541	0.727	0.672	3.89505479499217e-15	Tex-term	Fosb
1.83714517035715e-19	0.266156314221144	0.93	0.914	3.89731976439566e-15	Tex-term	Dusp2
3.84821774127207e-19	0.250423065969049	0.421	0.33	8.16360911633456e-15	Tex-term	Ddx60
8.70829111807531e-19	0.308166059094078	0.702	0.656	1.8473768777885e-14	Tex-term	Serpina3g
2.72851915766357e-15	0.863749522518514	0.663	0.64	5.78828054106749e-11	Tex-term	Spp1
2.35787410597791e-14	0.301032261681047	0.887	0.87	5.00199412842153e-10	Tex-term	Samhd1
4.58609907175163e-09	0.328099522349012	0.372	0.312	9.72895057081391e-05	Tex-term	Rsad2
4.98013705886303e-08	0.286601921692964	0.729	0.706	0.0010564862756672	Tex-term	Nrgn
4.62301829143009e-218	0.616207294065838	0.967	0.862	9.8072710034398e-214	Tex-prolif	Nme1
5.38230964018812e-159	0.306185179765796	1	1	1.14180316706951e-154	Tex-prolif	Pfn1
2.20402809954226e-154	0.483668084866118	0.996	0.971	4.67562521036896e-150	Tex-prolif	Eif5a
6.99516826921424e-140	0.317832427370631	1	0.999	1.48395499663111e-135	Tex-prolif	Cfl1
1.52489362002096e-131	0.493748097746901	0.966	0.898	3.23490932551246e-127	Tex-prolif	Ddx21
2.40787061698476e-125	0.401870534216193	0.972	0.919	5.10805672687148e-121	Tex-prolif	Atp5g1
9.70429024713339e-122	0.544945011469236	0.91	0.787	2.05866813302688e-117	Tex-prolif	Ranbp1
3.97165481524167e-121	0.441749608165342	0.865	0.701	8.42546852505368e-117	Tex-prolif	Ppp1r14b
2.61601549912203e-120	0.317670417703953	1	1	5.54961527983747e-116	Tex-prolif	Actb
4.07503306994478e-111	0.31951906613731	1	1	8.64477515458086e-107	Tex-prolif	Ppia
2.59435711773106e-107	0.366514254504595	0.954	0.855	5.50366918955468e-103	Tex-prolif	Snrpd3
8.45385897792873e-107	0.386078697649655	0.829	0.627	1.7934016435778e-102	Tex-prolif	Nhp2
1.41989060269643e-106	0.376164147107328	0.981	0.926	3.01215592456022e-102	Tex-prolif	Eif4a1
2.62672532893489e-105	0.394995312140066	0.992	0.977	5.57233511280248e-101	Tex-prolif	Set
3.05578648316829e-105	0.440746611603268	0.824	0.628	6.48254544539322e-101	Tex-prolif	Nop58
4.89686215872122e-105	0.285592842288826	1	0.999	1.03882033835112e-100	Tex-prolif	Serbp1
2.59216065404496e-102	0.427650912936609	0.994	0.988	5.49900961149099e-98	Tex-prolif	Ncl
8.1750373714567e-102	0.411383161061141	0.936	0.847	1.73425242798083e-97	Tex-prolif	Snrpd1
4.37116704483703e-101	0.287939624635517	0.469	0.223	9.27299376891727e-97	Tex-prolif	Srm
6.07583135517287e-98	0.396380834910203	0.763	0.552	1.28892686368637e-93	Tex-prolif	C1qbp
9.9496571184633e-94	0.406168165354758	1	1	2.1107202611108e-89	Tex-prolif	Ptma
8.74269391179107e-92	0.343453095091522	0.999	0.997	1.85467508644736e-87	Tex-prolif	Npm1
3.75059317605666e-91	0.376862383077761	0.973	0.919	7.9565083636866e-87	Tex-prolif	Ndufa4
7.71023171098615e-89	0.260673806861238	1	1	1.6356485551686e-84	Tex-prolif	Hsp90ab1
1.87339317493824e-88	0.319406263682516	0.984	0.958	3.97421628131398e-84	Tex-prolif	Slc25a5
4.14034233619431e-87	0.302696298163169	0.996	0.971	8.7833222320026e-83	Tex-prolif	Snrpf
7.97069478704131e-86	0.347456805328332	0.966	0.9	1.69090319212294e-81	Tex-prolif	Cotl1
4.26985488001101e-84	0.352910937964686	0.969	0.919	9.05807014245536e-80	Tex-prolif	Cycs
2.44047167993993e-81	0.321980136342309	0.734	0.535	5.17721662182456e-77	Tex-prolif	Uchl3
6.68440674417912e-81	0.332625219242708	0.789	0.598	1.41803004671016e-76	Tex-prolif	Fbl
1.11205731242433e-79	0.265763090319785	0.995	0.98	2.35911838257698e-75	Tex-prolif	Cox5a
4.16961652700853e-79	0.351894431565775	0.97	0.928	8.8454245003959e-75	Tex-prolif	Prdx1
7.67957733339148e-79	0.335113870682776	0.671	0.465	1.62914553550567e-74	Tex-prolif	Nolc1
1.05512640762603e-78	0.296734583701832	0.966	0.906	2.23834516113786e-74	Tex-prolif	Rps27l
5.15306881116691e-78	0.324408603648345	0.895	0.775	1.09317201760095e-73	Tex-prolif	Eif2s1
9.9488521042684e-78	0.377685145635726	0.818	0.673	2.1105494853995e-73	Tex-prolif	Pa2g4
1.51657288002053e-77	0.285712146664349	0.999	0.987	3.21725770767555e-73	Tex-prolif	Txn1
3.22239304475611e-77	0.319907755443891	0.877	0.747	6.83598460514561e-73	Tex-prolif	Rsl1d1
4.15909915194492e-75	0.299838623904749	0.685	0.477	8.82311294093596e-71	Tex-prolif	Gar1
1.49613516001722e-74	0.289900367740712	0.996	0.993	3.17390112846053e-70	Tex-prolif	Ybx1
5.12154066940055e-73	0.296099373591198	0.938	0.853	1.08648363760663e-68	Tex-prolif	Cct5
3.41016210427381e-72	0.367304889297972	0.976	0.935	7.23431788800647e-68	Tex-prolif	Ran
6.07568580880442e-72	0.298557298547858	0.663	0.451	1.28889598747977e-67	Tex-prolif	Mybbp1a
8.90125530909212e-71	0.334838657446243	0.926	0.845	1.8883123012708e-66	Tex-prolif	Hspd1
1.32025784029441e-70	0.267556809933575	0.383	0.191	2.80079498240056e-66	Tex-prolif	Cdca7
3.74052893326318e-70	0.277941190525471	0.644	0.431	7.9351580790245e-66	Tex-prolif	Noc2l
1.40281454655921e-69	0.306197871149609	0.96	0.894	2.97593077907072e-65	Tex-prolif	Srsf7
7.01311543154879e-69	0.302343741943312	0.891	0.791	1.48776230764876e-64	Tex-prolif	Ndufab1
2.30974723377096e-67	0.296727643208022	0.768	0.588	4.89989778172172e-63	Tex-prolif	Snrpa1
3.97716238439982e-66	0.298308067705904	0.637	0.441	8.43715228226577e-62	Tex-prolif	Dkc1
1.05533920977461e-65	0.28281593245102	0.74	0.545	2.23879659961585e-61	Tex-prolif	Sfxn1
1.73515902128172e-65	0.278148521261551	0.934	0.85	3.68096634774704e-61	Tex-prolif	Cct8
3.7307900403526e-65	0.305302375772732	0.465	0.269	7.91449799160401e-61	Tex-prolif	Fabp5
1.31014150974334e-64	0.312506409615	0.704	0.527	2.77933419876952e-60	Tex-prolif	Phgdh
9.68842701013091e-63	0.250676174198706	0.951	0.89	2.05530290592917e-58	Tex-prolif	Psmb5
1.40986470673364e-62	0.285825711243364	0.835	0.691	2.99088698886474e-58	Tex-prolif	Rexo2
4.26408744686165e-62	0.268628203548411	0.748	0.579	9.04583510977231e-58	Tex-prolif	Lsm7
1.92308477617497e-61	0.255120047884333	0.993	0.974	4.07963204417758e-57	Tex-prolif	Hint1
2.45646571762984e-61	0.289023154905302	0.921	0.836	5.21114637337994e-57	Tex-prolif	Snu13
3.96285576801641e-61	0.277885711172787	0.833	0.703	8.40680222627002e-57	Tex-prolif	Cct3
4.49039901313413e-61	0.296308758319889	0.804	0.647	9.52593246646275e-57	Tex-prolif	Magohb
1.02568310678425e-60	0.27341841880614	0.772	0.617	2.17588414273211e-56	Tex-prolif	Prmt1
2.11325763281217e-60	0.275644302447903	0.886	0.783	4.48306474224773e-56	Tex-prolif	Phb2
6.13743566448614e-60	0.281771358112392	0.846	0.729	1.30199560186409e-55	Tex-prolif	Cct6a
7.58651384921268e-60	0.257729868966067	0.798	0.643	1.60940304797198e-55	Tex-prolif	Ebna1bp2
2.44831993594133e-59	0.282561824321546	0.781	0.617	5.19386591210594e-55	Tex-prolif	Ppa1
3.89122656715382e-59	0.262780309399358	0.725	0.536	8.25484803956011e-55	Tex-prolif	Hspa9
8.07297483511383e-59	0.255586433990306	0.395	0.214	1.71260088152105e-54	Tex-prolif	Eno3
1.56303711831233e-57	0.280973341603946	0.872	0.752	3.31582694278777e-53	Tex-prolif	Npm3
3.12260602333585e-57	0.253480802150941	0.986	0.962	6.62429641790467e-53	Tex-prolif	Srsf3
1.77176790227749e-56	0.27074591908216	0.862	0.737	3.75862842789146e-52	Tex-prolif	Eif1ax
2.31889566773388e-56	0.256426558763261	0.676	0.491	4.91930526953066e-52	Tex-prolif	Nsun2
6.72154286777779e-55	0.307469814164316	0.938	0.862	1.42590810397038e-50	Tex-prolif	Hnrnpab
3.44175994732845e-54	0.392707233848866	0.547	0.374	7.30134955226258e-50	Tex-prolif	Mcm3
5.32911084694976e-54	0.258580939949508	0.732	0.567	1.13051757507192e-49	Tex-prolif	Cisd1
7.64725073248127e-54	0.306354402271165	0.974	0.933	1.62228777038858e-49	Tex-prolif	Nap1l1
6.53519955364287e-53	0.265011371794883	0.716	0.561	1.3863772333098e-48	Tex-prolif	Ppid
7.64229334839824e-53	0.292204745158521	0.651	0.476	1.6212361109292e-48	Tex-prolif	Gnl3
1.90214352566818e-50	0.406517645229105	0.872	0.783	4.03520727535247e-46	Tex-prolif	Dut
9.65277704784568e-50	0.25373065885018	0.806	0.664	2.04774012292998e-45	Tex-prolif	Ddx18
3.2500614072234e-49	0.264802977022736	0.732	0.568	6.89468026928371e-45	Tex-prolif	Nop56
6.57143984685031e-49	0.266024902777618	0.534	0.356	1.39406524911083e-44	Tex-prolif	Cyp51
5.99583732596216e-44	0.329093562890501	0.73	0.608	1.27195693032961e-39	Tex-prolif	Mcm6
2.30606482096461e-39	0.598179224652183	0.574	0.426	4.89208591119432e-35	Tex-prolif	Xcl1
2.43843630033504e-34	0.45725560195111	0.807	0.691	5.17289876753075e-30	Tex-prolif	H1f4
3.33281519283217e-32	0.279226526666945	0.49	0.348	7.07023415007416e-28	Tex-prolif	Lig1
2.00206008390373e-30	0.291351590172723	0.504	0.37	4.24717026199337e-26	Tex-prolif	Mcm7
1.04156219823094e-14	0.283507820996726	0.513	0.406	2.20957004732713e-10	Tex-prolif	H2ac20
3.76697336783253e-05	0.563815040891384	0.267	0.225	0.799125730251994	Tex-prolif	H1f5
5.86160165948758e-286	1.13317004860207	1	0.99	1.24348017604369e-281	Tex-Prf1	Aldoa
5.22598866472371e-268	1.29770582780786	0.855	0.331	1.10864123533449e-263	Tex-Prf1	Bnip3
1.09720506133174e-261	1.27435721690454	0.997	0.857	2.32761081710915e-257	Tex-Prf1	Tpi1
2.82281956557545e-253	1.12442758119564	1	0.949	5.98832942641176e-249	Tex-Prf1	Pgk1
5.08953212871177e-242	1.04573146253453	1	0.959	1.07969334578492e-237	Tex-Prf1	Eno1
1.10443020843297e-236	0.889867758893535	1	0.999	2.3429382441697e-232	Tex-Prf1	Gapdh
3.99533695530388e-220	1.03216300431662	0.991	0.878	8.47570781698166e-216	Tex-Prf1	Pgam1
1.91951377365338e-207	0.930221407510637	1	0.981	4.07205651942829e-203	Tex-Prf1	Ldha
2.29641795135937e-193	0.872502362388118	1	0.97	4.87162104201377e-189	Tex-Prf1	Pkm
2.30753983555694e-186	1.00425439308483	0.983	0.904	4.89521500715049e-182	Tex-Prf1	Higd1a
1.13405550311266e-181	0.860185041697179	1	0.97	2.4057853443032e-177	Tex-Prf1	Mif
4.41924288743066e-170	0.828374574104121	0.771	0.345	9.3749818613954e-166	Tex-Prf1	Slc16a3
2.62198010894629e-162	0.750552059161658	0.996	0.975	5.56226860311867e-158	Tex-Prf1	Gpi1
1.00405299055425e-155	0.946034652665536	0.956	0.751	2.12999801416179e-151	Tex-Prf1	Fam162a
1.38643986406373e-147	0.924106533726272	0.813	0.462	2.9411935276248e-143	Tex-Prf1	Ero1l
2.60798362991866e-147	0.79639087397316	0.969	0.841	5.53257647250945e-143	Tex-Prf1	Pfkp
2.25135391748018e-136	0.944664611328597	0.973	0.826	4.77602220054245e-132	Tex-Prf1	Tnfrsf9
6.75835527516299e-128	0.763105769886928	0.913	0.707	1.43371748807308e-123	Tex-Prf1	Egln1
1.87935191177756e-117	0.705133733951779	0.88	0.591	3.98685714564491e-113	Tex-Prf1	P4ha1
2.69339713006468e-116	0.720917184703225	0.825	0.517	5.71377267171921e-112	Tex-Prf1	Prelid2
1.25034828702993e-112	0.66179095494682	0.983	0.929	2.65248885610528e-108	Tex-Prf1	Bsg
2.97999679607869e-112	0.405666139079358	0.392	0.104	6.32176520320134e-108	Tex-Prf1	Ndrg1
3.01615741685406e-107	0.585268821298563	0.663	0.321	6.3984763441142e-103	Tex-Prf1	Slc2a1
1.22394018423288e-105	0.733067055230588	0.856	0.619	2.59646670683164e-101	Tex-Prf1	Impa2
4.34785751923199e-100	0.659250485138675	0.589	0.262	9.22354494129875e-96	Tex-Prf1	Ankrd37
1.18488605821862e-93	0.560616468308477	0.995	0.973	2.51361728390498e-89	Tex-Prf1	Anxa2
3.26636272633159e-93	0.403102168587053	0.385	0.118	6.92926188763983e-89	Tex-Prf1	Egln3
6.17124091806902e-91	0.657587099898309	0.973	0.909	1.30916704835916e-86	Tex-Prf1	Tnfrsf18
1.64535593122377e-89	0.704956648320072	0.66	0.351	3.4904580724981e-85	Tex-Prf1	Hk2
6.27386730135985e-88	0.600940963564965	0.932	0.798	1.33093820931048e-83	Tex-Prf1	Bnip3l
5.3935565169211e-82	0.500894726439186	0.74	0.461	1.14418907949964e-77	Tex-Prf1	Pfkl
1.03337039251559e-81	0.526899898417482	1	0.998	2.19219195068258e-77	Tex-Prf1	Jund
2.84952785078559e-79	0.256477014073286	0.299	0.082	6.04498838265655e-75	Tex-Prf1	Arrb1
5.30586765579612e-77	0.347822941174699	0.384	0.135	1.12558676450059e-72	Tex-Prf1	Aldoc
1.55158495059573e-75	0.717808296267084	0.816	0.593	3.29153231419377e-71	Tex-Prf1	Hilpda
2.76994896819712e-72	0.431773263087315	0.98	0.951	5.87616974113338e-68	Tex-Prf1	Prelid1
6.60355482577073e-71	0.445741627719963	0.984	0.935	1.400878120739e-66	Tex-Prf1	Ndufv3
2.90733025025766e-69	0.488408113735851	0.691	0.435	6.16761039289661e-65	Tex-Prf1	Galk1
2.23156363469501e-68	1.17626236510428	0.941	0.86	4.734039094642e-64	Tex-Prf1	Prf1
3.36420343192998e-67	0.354449606380619	1	1	7.13682116049626e-63	Tex-Prf1	Fxyd5
1.06140840384397e-65	0.52152944515254	0.713	0.466	2.25167178791461e-61	Tex-Prf1	Mxi1
1.09022415415354e-63	0.498707456071681	0.592	0.341	2.31280152062132e-59	Tex-Prf1	Eif4ebp1
7.35614294685496e-62	0.556713505395732	0.787	0.593	1.56053216474581e-57	Tex-Prf1	Clcn3
1.66593428151298e-60	0.432232388566636	0.685	0.44	3.53411298480163e-56	Tex-Prf1	Eno1b
2.66376616761475e-59	0.530453062171608	0.997	0.982	5.65091354797793e-55	Tex-Prf1	Vim
1.4329807123331e-57	0.522176013182652	0.724	0.501	3.03992528314345e-53	Tex-Prf1	Plod2
3.26880696435256e-55	0.705282932844639	0.797	0.592	6.93444709417752e-51	Tex-Prf1	Tnfrsf4
1.80448863638894e-53	0.321653867537254	0.527	0.286	3.82804219323551e-49	Tex-Prf1	Grhpr
9.6637278603638e-53	0.359127106131583	0.58	0.343	2.05006322829758e-48	Tex-Prf1	Pgm1
3.18323841448653e-52	0.253838195405983	0.324	0.124	6.75292197249172e-48	Tex-Prf1	Ppp1r3b
9.53230638968206e-51	0.454790153485179	0.8	0.598	2.02218347750715e-46	Tex-Prf1	Fndc3a
5.15165493441206e-48	0.340364587615257	0.651	0.413	1.09287207778617e-43	Tex-Prf1	Ppme1
9.37548781189047e-46	0.338192593617539	0.488	0.267	1.98891598441444e-41	Tex-Prf1	Pfkfb3
2.85572699399461e-43	0.559691380872309	0.927	0.805	6.05813924506017e-39	Tex-Prf1	Lgals3
1.49852167384147e-41	0.396946121919543	0.76	0.601	3.17896387888729e-37	Tex-Prf1	Alkbh5
9.84342332989906e-40	0.269271748341705	0.496	0.286	2.08818382520479e-35	Tex-Prf1	Pdk1
1.11449247222667e-39	0.404262750453936	0.645	0.46	2.36428433058166e-35	Tex-Prf1	Jmjd6
4.30275279642041e-39	0.38117016730848	0.609	0.407	9.12785978232626e-35	Tex-Prf1	Nfil3
7.45025896794864e-37	0.468328977589319	0.908	0.868	1.58049793746062e-32	Tex-Prf1	Stat3
5.17067630515888e-36	0.277832272986917	0.491	0.279	1.0969072713764e-31	Tex-Prf1	Kdm5b
5.89498598423818e-36	0.347372722311576	1	0.999	1.25056232669629e-31	Tex-Prf1	Actg1
3.49238580763395e-35	0.445000071625053	0.641	0.468	7.40874725231467e-31	Tex-Prf1	Gm2a
3.35360172604516e-33	0.358575583358723	0.905	0.816	7.1143307016322e-29	Tex-Prf1	Slamf7
6.76416746538672e-33	0.352624452930848	0.812	0.688	1.43495048610714e-28	Tex-Prf1	P4hb
2.27565631297725e-32	0.401058006135477	0.959	0.928	4.82757730234994e-28	Tex-Prf1	Bcl2
1.00057496705696e-30	0.284682407990928	0.412	0.235	2.12261973511463e-26	Tex-Prf1	Adam8
5.53618104431666e-30	0.266541903344976	0.499	0.322	1.17444544674134e-25	Tex-Prf1	Pafah1b3
7.87924340163745e-30	0.331536505523322	0.461	0.296	1.67150269522337e-25	Tex-Prf1	Sap30
2.02045457333442e-29	0.288147648146957	0.956	0.919	4.28619233187164e-25	Tex-Prf1	Prdx5
2.72171163027863e-29	0.294295742879762	0.984	0.952	5.77383905247309e-25	Tex-Prf1	1810037I17Rik
3.72572388400734e-28	0.293063095753823	0.397	0.232	7.90375064753318e-24	Tex-Prf1	Prdm1
7.80457131661662e-28	0.312830141755173	0.501	0.338	1.65566175910705e-23	Tex-Prf1	Smpd1
