p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
2.01367825960914e-30	-0.224643628827306	0.646	0.745	4.27181705993484e-26	Cd44
5.4371258929499e-30	0.152756224450872	0.975	0.965	1.15343188693039e-25	Ndufa1
5.53201109312468e-30	-0.209528081392644	0.408	0.529	1.17356083329547e-25	Gm44175
1.39418038754082e-29	-0.174405921067881	0.933	0.96	2.9576142741291e-25	Srsf5
1.7587743600935e-29	0.154723522564743	0.999	0.999	3.73106392750235e-25	Fth1
2.29551226816829e-29	-0.195839814034833	0.917	0.956	4.8696997256922e-25	Plek
4.72677631779769e-29	0.0985289319960545	1	1	1.0027383280576e-24	Rpl35a
8.54925571202419e-29	-0.189153286747876	0.869	0.913	1.81363910674881e-24	Cblb
9.35462525588506e-29	-0.103935442460956	1	1	1.98449020178346e-24	Eef1a1
1.01952815760654e-28	0.10581101323613	1	1	2.16282703354652e-24	Rpl13
1.18175664855796e-28	0.168812249105954	0.519	0.411	2.50697855425086e-24	Eno1b
1.7147066020756e-28	-0.189007295808136	0.543	0.655	3.63757858564318e-24	Ddx3x
2.04579569183563e-28	0.142430969348116	0.999	0.997	4.33995098066011e-24	Clic1
2.05560691083334e-28	-0.156328134743737	0.975	0.978	4.36076450064184e-24	Eef1g
2.14032954371844e-28	-0.205744999418771	0.827	0.877	4.54049509404429e-24	Septin11
2.62869841594127e-28	-0.227435175289608	0.774	0.847	5.5765208195778e-24	Nabp1
4.93801121770719e-28	0.154489163202449	0.962	0.952	1.0475496997244e-23	Ost4
6.42661854155926e-28	0.26270262989382	0.894	0.853	1.36334285740638e-23	Ifi47
7.83860006598373e-28	0.241336048382264	0.994	0.988	1.66288061799779e-23	Ly6a
1.10157135549906e-27	0.137129734030574	0.994	0.99	2.33687347355572e-23	Sumo2
1.11222127298858e-27	0.129045873191358	0.999	0.999	2.35946620851796e-23	Psmb8
1.46710895160882e-27	-0.187132551197288	0.741	0.813	3.11232492994296e-23	Ddx17
3.02136236173152e-27	0.134640548948466	0.997	0.994	6.40951811417725e-23	Atp5j2
4.0197688321152e-27	0.149086740376879	0.991	0.989	8.52753760044918e-23	Atp5j
5.54619793434943e-27	0.151007999359018	0.963	0.948	1.17657042979289e-22	Uqcrb
6.6472710576027e-27	-0.207415678360535	0.632	0.742	1.41015208215984e-22	Il7r
1.47028610600307e-26	-0.32555142423681	0.681	0.755	3.11906494527491e-22	Rgs2
1.53453999741802e-26	-0.502544154560292	0.414	0.531	3.25537315052259e-22	Xcl1
1.7739562403158e-26	-0.172820337155348	0.989	0.991	3.76327076820593e-22	Ncl
3.03751544425778e-26	-0.138346689613782	0.291	0.409	6.44378526344844e-22	Dusp4
8.24157993942564e-26	0.226792095070228	0.972	0.967	1.74836876834975e-21	Cxcr6
8.72187508659481e-26	0.114129623148406	0.996	0.993	1.85025858087022e-21	Tomm7
8.86359029914518e-26	0.129605904009015	0.997	0.997	1.88032204606066e-21	Snrpg
9.03559845419075e-26	0.132972451042005	0.991	0.987	1.91681185607203e-21	Gng5
9.09562089578702e-26	-0.167594277660196	0.726	0.81	1.92954501683226e-21	Ccnl1
9.27147105064335e-26	-0.18381267469688	0.931	0.949	1.96684986868348e-21	Chd4
1.0813728401903e-25	0.175756865468657	0.977	0.976	2.29402434317971e-21	Dynll1
1.24935578485344e-25	-0.191683930290024	0.771	0.839	2.65038336198808e-21	Ogt
1.25584572752376e-25	0.138585124246945	0.999	0.999	2.66415112636891e-21	Sub1
1.71384895834774e-25	0.131473282623102	0.999	0.999	3.6357591802389e-21	Coro1a
2.63773203490666e-25	-0.147842355362284	0.34	0.458	5.59568473885099e-21	Phykpl
2.70110395090862e-25	0.145120084640329	0.989	0.982	5.73012192145754e-21	Psmb9
3.34524086238984e-25	-0.164194079211821	0.517	0.624	7.09659396547381e-21	Lrrk1
3.35364357603756e-25	0.0944801564068891	1	1	7.11441948220608e-21	Rpl18
7.05607594659401e-25	-0.168373015958295	0.787	0.857	1.49687595131045e-20	Srpk2
7.51167709109293e-25	0.158513440766133	0.985	0.984	1.59352717810445e-20	Pdia3
7.82377537663886e-25	-0.14492712815855	0.245	0.359	1.65973570840017e-20	C030029H02Rik
1.49616463906606e-24	-0.186799209440265	0.726	0.813	3.17396366531475e-20	Ubash3b
1.74823882089455e-24	-0.185547489531446	0.905	0.936	3.7087138346457e-20	Clk1
2.81741958516671e-24	0.156940398738775	1	1	5.97687390797266e-20	Ppia
4.58938036243708e-24	0.148780730180916	0.817	0.776	9.73591150087403e-20	Hypk
5.79793777598976e-24	-0.0854467407142963	1	1	1.22997451979847e-19	Rps23
6.41773249383816e-24	0.149569713324745	1	0.999	1.36145777124283e-19	Nkg7
7.30743531404763e-24	0.12999328580397	0.999	0.999	1.55019932752207e-19	Myl6
8.18540251607273e-24	-0.215874040915698	0.785	0.843	1.73645128975967e-19	Odc1
1.16941141727499e-23	-0.169741605706527	0.958	0.972	2.48078938060716e-19	Cst7
1.21697286564727e-23	0.124372913715934	0.997	0.996	2.58168623718411e-19	Arpc1b
1.22043592392562e-23	-0.174060961954797	0.347	0.458	2.58903276901582e-19	Il2ra
1.22339662301768e-23	0.143375313614703	0.991	0.983	2.59531359606971e-19	Psme2
1.53275643892712e-23	0.0937534687650219	1	1	3.25158950954e-19	Rps7
1.60054803296272e-23	-0.166266552724761	0.924	0.959	3.39540259712711e-19	Fus
2.04244888593856e-23	-0.199621698111111	0.757	0.821	4.33285106663006e-19	Gm4759
3.48360250693151e-23	-0.20723122254481	0.49	0.595	7.3901143582045e-19	Satb1
3.9577396009648e-23	0.106107517023311	0.999	0.997	8.39594878948672e-19	Cox8a
4.72021097443738e-23	-0.119554172728467	0.336	0.444	1.00134555611715e-18	Gm15500
4.98967745233333e-23	0.1682301685472	0.999	0.998	1.05851017473799e-18	Jund
6.63379729711213e-23	0.107712631258088	0.994	0.996	1.40729375860937e-18	Cox6b1
1.0332430698115e-22	-0.180497919308033	0.899	0.934	2.19192184829811e-18	Atrx
1.57861930864441e-22	0.152116172364429	0.901	0.868	3.34888300135826e-18	Rpl37rt
2.64936117695698e-22	-0.132745716260161	0.231	0.331	5.62035480079653e-18	mt-Nd6
2.70542890114426e-22	-0.173029489635594	0.721	0.791	5.73929687088744e-18	Chd7
3.54579813296244e-22	-0.16503454826282	0.693	0.767	7.52205615926651e-18	Hnrnph1
4.56974808604363e-22	-0.130867948637332	0.355	0.466	9.69426358973296e-18	6720464F23Rik
5.37705767806319e-22	-0.199287799141819	0.849	0.89	1.14068901582433e-17	Malt1
5.44616224947282e-22	0.256729987490885	0.984	0.992	1.15534885960316e-17	Ifi27l2a
6.45543227623206e-22	-0.224275597484437	0.699	0.768	1.36945540307987e-17	Lyst
6.90075916010417e-22	-0.182020396133447	0.77	0.847	1.4639270482245e-17	Zfas1
7.28332181623522e-22	0.140840857566872	0.924	0.902	1.54508389009614e-17	Mrps21
1.07582848675176e-21	0.140873465821903	0.952	0.947	2.28226255179519e-17	Psma3
1.39533589809672e-21	-0.160429749489978	0.376	0.48	2.96006557422239e-17	Chn2
1.42953785453214e-21	-0.176168865445377	0.482	0.576	3.03262160460447e-17	Tob2
1.66518150681361e-21	0.110628801911216	0.447	0.342	3.5325160485544e-17	Tomm6
1.78080309895747e-21	-0.173176006554052	0.782	0.849	3.77779569412839e-17	Atp8b4
2.00962714374884e-21	0.217790693204324	0.892	0.841	4.26322302274878e-17	Ifi206
3.53104902729661e-21	0.15489270512566	0.925	0.902	7.49076740650703e-17	Atox1
4.93931626161786e-21	-0.141483231774886	0.85	0.894	1.04782655173961e-16	Csde1
4.96021087132448e-21	0.142111565211349	0.975	0.971	1.05225913424278e-16	Dnaja1
5.76397347236765e-21	0.15095260766057	0.774	0.75	1.22276933242807e-16	Sap18
6.45052937242504e-21	-0.153445948518446	0.706	0.776	1.36841530106625e-16	Tab2
7.46865746564513e-21	-0.159826202839121	0.755	0.828	1.58440099476196e-16	Rabgap1l
7.98328600840284e-21	-0.140127451940527	0.477	0.582	1.69357429382258e-16	Raph1
8.22694610770027e-21	-0.151575607369466	0.987	0.992	1.74526434728753e-16	Akap13
8.74945451382361e-21	-0.273520270531579	0.661	0.718	1.85610928056254e-16	Fosb
9.96265282826389e-21	0.119271829001089	0.992	0.993	2.1134771709879e-16	Tle5
1.02941993179999e-20	0.146019958615909	0.996	0.994	2.1838114433205e-16	Cyba
1.33993219698313e-20	-0.14023165650364	0.475	0.575	2.84253216268001e-16	Gnptab
2.48988823953757e-20	-0.170966914073807	0.58	0.666	5.28204891135499e-16	Sptbn1
4.36869186822618e-20	0.122671505870749	0.984	0.98	9.26774292925502e-16	Atp5md
4.72233790860155e-20	-0.122618126365115	0.39	0.489	1.00179676393073e-15	Rps10-ps2
6.32376645581554e-20	0.157290453490637	0.732	0.679	1.34152381593671e-15	Grcc10
6.80852778503227e-20	0.0989349792316281	1	1	1.44436108431675e-15	Rplp0
7.52081217716027e-20	-0.15898283082675	0.866	0.905	1.59546509526278e-15	D16Ertd472e
8.3701647238622e-20	-0.158875684590543	0.86	0.889	1.77564674452013e-15	Sla
9.44024335243096e-20	0.122782597671969	0.89	0.868	2.0026532247847e-15	Ndufs5
9.64599581346311e-20	-0.145354080378128	0.878	0.91	2.04630155186806e-15	Dock8
1.04432741026363e-19	-0.157237168980992	0.918	0.93	2.21543616813326e-15	Dock10
1.12357058958053e-19	0.107648912506638	0.308	0.221	2.38354264873614e-15	Mrpl23-ps1
1.32496904483527e-19	0.138139603405182	0.908	0.909	2.81078933171353e-15	Psmb5
1.34136879312066e-19	-0.142656200079478	0.616	0.705	2.84557975772617e-15	Spty2d1
1.81650149415605e-19	0.26557643954678	0.97	0.965	3.85352626970265e-15	Bst2
1.98600814219881e-19	0.11463448554237	0.99	0.991	4.21311767286056e-15	Ubl5
2.02050091038554e-19	-0.151957254409543	0.752	0.825	4.28629063129188e-15	Pnisr
2.42814039804277e-19	-0.196534858331391	0.499	0.586	5.15105704040793e-15	Tfrc
2.47721836004589e-19	0.123625765740173	0.916	0.899	5.25517102900135e-15	Sf3b6
2.91683012009432e-19	-0.147385520999465	0.793	0.862	6.18776341676809e-15	Spn
3.08250797762683e-19	-0.151802128270744	0.943	0.962	6.53923242373756e-15	Mycbp2
3.1116523669425e-19	-0.141561037121067	0.421	0.52	6.60105933123182e-15	Clic4
3.75752486365967e-19	0.131958156178013	0.989	0.987	7.97121324576763e-15	Hnrnpf
3.82596021718878e-19	-0.150538608634696	0.995	0.995	8.11639200474429e-15	Gas5
4.32189994608423e-19	-0.152726414297694	0.852	0.892	9.16847854562309e-15	Ccdc50
4.75293073514863e-19	-0.0966130205995634	0.999	1	1.00828672615443e-14	Eef1b2
5.9196117510007e-19	0.165493131227541	0.999	1	1.25578643685729e-14	Actg1
6.17639477949065e-19	0.143081588257269	0.899	0.877	1.31026038852115e-14	Psmb10
6.8151226380363e-19	-0.166794446528311	0.65	0.726	1.44576011643302e-14	Nfat5
6.98755071333974e-19	0.109549743543632	0.997	0.994	1.48233900832789e-14	Ppib
7.80652011212413e-19	-0.200319875612563	0.886	0.92	1.65607517658601e-14	Bhlhe40
8.87697788305337e-19	-0.112859095692561	0.985	0.991	1.88316208811094e-14	Thy1
1.02685598433136e-18	-0.105285210034209	0.372	0.476	2.17837228516054e-14	Rps11-ps1
1.68058123694593e-18	0.505604171099534	0.756	0.702	3.5651850360571e-14	Ccl5
1.72982155649194e-18	-0.13019519463208	0.981	0.989	3.66964344994201e-14	Tln1
2.43541335168235e-18	-0.167958727100773	0.552	0.641	5.16648588425895e-14	Coro2a
2.76967802058939e-18	-0.14709364956552	0.773	0.838	5.87559495287833e-14	Zfp292
3.44368799363343e-18	-0.136823745179497	0.319	0.418	7.30543970969395e-14	Zfp318
3.44374400983033e-18	-0.135916053928415	0.926	0.937	7.30555854245405e-14	Rock1
3.63316590037685e-18	0.108044849005912	0.99	0.987	7.70739814105946e-14	Arf5
4.01022199536152e-18	0.119443938719835	0.989	0.988	8.50728494095993e-14	Cox7a2
7.46841753963466e-18	0.119806741130767	0.963	0.945	1.5843500968581e-13	Tmem258
8.67566044163161e-18	-0.133328118364576	0.954	0.965	1.84045460608773e-13	Iqgap1
1.00215478412122e-17	0.238580153069146	0.963	0.952	2.12597115903476e-13	H2az1
1.01089353709785e-17	0.146493407109941	0.967	0.957	2.14450954959937e-13	Sec11c
1.1465028358707e-17	-0.176214495103572	0.499	0.589	2.4321911160161e-13	Gm37474
1.22521184214295e-17	0.148397298852091	0.903	0.883	2.59916440192206e-13	Ech1
1.26942892649439e-17	-0.116998949955052	0.256	0.35	2.6929665246652e-13	Kdm5b
1.36976805338422e-17	0.129965255965991	0.867	0.849	2.90582594844929e-13	Psma5
1.47022652086725e-17	0.104346719920953	0.996	0.995	3.11893854136778e-13	Ndufa13
1.58171772271911e-17	0.137519951826127	0.97	0.967	3.35545597697632e-13	Krtcap2
1.64788220416106e-17	0.0958184022740558	0.859	0.814	3.49581730790728e-13	Gm11478
1.80288934579341e-17	-0.175413486335764	0.769	0.823	3.82464945816615e-13	Utrn
1.82219561385408e-17	-0.145360048079591	0.661	0.733	3.86560577523005e-13	Huwe1
1.9168003684125e-17	0.116145013219137	0.982	0.98	4.06630030155028e-13	Spcs2
1.94753255589827e-17	-0.0945133173112927	0.239	0.335	4.13149556408259e-13	Klf7
2.08004518071454e-17	-0.127219027921598	0.692	0.764	4.41260784636782e-13	Trip12
2.09782473756678e-17	0.187336939450743	0.907	0.894	4.45032539827417e-13	Emp3
3.29438686126395e-17	-0.153598429007635	0.875	0.906	6.98871228748535e-13	Cntrl
3.42442806599564e-17	-0.146781329458763	0.728	0.787	7.26458169920315e-13	Sh3bgrl
4.14998755724033e-17	0.155197734313159	0.962	0.957	8.80378360392964e-13	Cbx3
4.8743711960309e-17	-0.167904727794402	0.506	0.59	1.034049105526e-12	Slc2a3
5.36982572250067e-17	0.143061343777251	0.96	0.95	1.13915482877129e-12	1810037I17Rik
5.82204898592644e-17	-0.134593853468298	0.667	0.738	1.23508947187443e-12	Oga
8.59548505122703e-17	-0.175907706150284	0.766	0.837	1.8234461987673e-12	Bcl2l11
8.75031178508801e-17	-0.119023975269211	0.539	0.628	1.85629114208857e-12	Rps23-ps1
9.16240690553647e-17	-0.10307713133002	0.996	0.996	1.94371300094051e-12	Nsa2
9.68843052199867e-17	0.13148704688197	0.894	0.885	2.0553036509368e-12	Selenof
1.03393701968879e-16	-0.177002508278338	0.656	0.725	2.19339399356779e-12	Filip1l
1.10194432879528e-16	-0.134935750788954	0.877	0.915	2.3376646991063e-12	Hnrnpc
1.20581660935064e-16	-0.0701608694209428	1	1	2.55801935507645e-12	Rpl32
1.37871096216101e-16	-0.13273816929625	0.591	0.677	2.92479743512838e-12	Vps54
1.57071084861479e-16	-0.124260094573034	0.597	0.685	3.33210599425141e-12	Itch
2.3627738928794e-16	-0.14149521169863	0.893	0.929	5.01238853635435e-12	Nktr
2.43525972485866e-16	0.113062584608708	0.999	0.999	5.16615998031517e-12	Sh3bgrl3
2.43589613641689e-16	-0.171624783481003	0.77	0.844	5.1675100637948e-12	Rgs16
2.53873924112017e-16	0.170461968684219	0.996	0.996	5.38568142611233e-12	Hmgb1
2.74059146517043e-16	-0.133990488313622	0.86	0.902	5.81389073421256e-12	Itgal
2.79454701851159e-16	-0.150049384129776	0.822	0.875	5.92835204507049e-12	Ankrd44
3.36403610024116e-16	-0.113671109623597	0.376	0.473	7.13646618305159e-12	Tet2
3.80492499276705e-16	-0.133188061978549	0.831	0.865	8.07176787965601e-12	Birc6
3.81198022854337e-16	0.118447910069846	1	0.999	8.0867348568319e-12	Cd52
4.13057714168315e-16	0.117225722321659	0.927	0.918	8.76260634836663e-12	Ndufb8
4.69085939555227e-16	-0.101098490364927	0.993	0.995	9.95118912172458e-12	Ptprcap
5.01273297020006e-16	0.098110957242219	0.981	0.983	1.06340117229824e-11	Atp5c1
5.0214900403791e-16	0.113988037736402	0.928	0.92	1.06525889716602e-11	Tmed2
5.09875830369893e-16	-0.109945984256791	0.467	0.56	1.08165058654669e-11	Ubr4
5.63725242438489e-16	-0.139825698406287	0.915	0.942	1.19588672930901e-11	Dock2
5.72965486929548e-16	0.179921525768827	0.598	0.523	1.21548898397234e-11	Cebpb
5.75372612579225e-16	-0.139784855106473	0.69	0.766	1.22059546032557e-11	Arap2
6.08497034521755e-16	0.113786241824382	0.985	0.983	1.29086560903445e-11	Atp5k
6.88363862463365e-16	-0.1320054956758	0.504	0.59	1.46029509782978e-11	Snhg12
7.57031457981837e-16	-0.0612577866148492	1	1	1.60596653496267e-11	Rpl23
7.71602284033406e-16	-0.127504423266839	0.843	0.892	1.63687708534847e-11	Ddx6
7.83191366411441e-16	0.122795160088794	0.966	0.957	1.66146216470523e-11	Arpp19
8.31520199855917e-16	-0.13119593174178	0.629	0.708	1.76398695197434e-11	Zmiz1
8.62785321665569e-16	-0.117936291662344	0.504	0.595	1.83031278138134e-11	Marchf7
8.72694349640165e-16	0.15223240135957	0.552	0.491	1.85133379332665e-11	Rpa3
1.06774024986613e-15	-0.142338135629358	0.945	0.964	2.265104166066e-11	Sdf4
1.08995335187941e-15	0.132331785348072	0.3	0.221	2.31222704067698e-11	Cd200r1
1.15924404906543e-15	-0.122496954630304	0.686	0.762	2.45922032568741e-11	Eif4a2
1.28981956981846e-15	-0.114190979567184	0.484	0.571	2.73622323541288e-11	Rps6ka3
1.468140863674e-15	-0.107338571561948	0.425	0.512	3.11451402819802e-11	Dnajc13
1.47509259760374e-15	-0.140451919807237	0.414	0.499	3.12926143655657e-11	Itih5
1.51206461375992e-15	0.0804926304726954	0.999	0.998	3.20769387163029e-11	Cox7c
1.66436681756399e-15	-0.120220432616517	0.457	0.544	3.53078776678024e-11	Srebf2
1.67808932387602e-15	-0.115934627395732	0.981	0.986	3.55989869167059e-11	Tpr
1.7714593113579e-15	0.109742815826289	0.973	0.969	3.75797378311465e-11	Abracl
1.81093810791662e-15	0.166034699343458	0.71	0.671	3.84172410213432e-11	Alyref
2.07624447779971e-15	0.107530045416862	0.467	0.38	4.4045450352043e-11	Gm9385
2.1282712211347e-15	-0.138498605921291	0.359	0.443	4.51491456851516e-11	Irf4
2.28596525013716e-15	0.135856283701758	0.839	0.815	4.84944668164097e-11	Cacybp
2.85431907008592e-15	0.212655295937153	0.707	0.646	6.05515247528028e-11	Igtp
2.9572017427937e-15	0.0733817568626582	1	1	6.27340777716255e-11	Rpl38
3.25409451224091e-15	-0.115406061721186	0.875	0.907	6.90323609826786e-11	Wipf1
3.28263049419578e-15	0.170316014532984	0.839	0.809	6.96377233038693e-11	H2az2
3.32432481479191e-15	0.132621664819358	0.975	0.967	7.05222266209956e-11	S100a13
3.94415742165152e-15	-0.110750034579201	0.378	0.463	8.36713555429153e-11	Calu
4.1038045498227e-15	0.121424332819982	0.939	0.937	8.70581097199387e-11	Atp5g3
4.19969805397772e-15	-0.126883062410248	0.967	0.979	8.90923945170835e-11	Stk17b
