guide	gene	positive119	negative119	positive122	negative122	positive124	negative124	positive141	negative141	positive144	negative144
sgPLS3_2	PLS3	5461	6172	6784	5659	12207	11966	11985	10179	17102	17627
sgPLS3_3	PLS3	13876	8229	2546	4944	8494	31227	12781	9294	9809	8706
sgPLS3_4	PLS3	2262	1510	1865	1886	1333	13623	6028	5854	5637	4951
sgPLS3_5	PLS3	5344	5338	3925	4791	5694	9315	10374	8616	7899	6666
sgPTMS_1	PTMS	3598	5562	2330	2175	2751	2375	7312	5397	7742	7794
sgPTMS_2	PTMS	1558	2250	3082	1918	867	2748	7381	2214	5255	7449
sgPTMS_3	PTMS	4343	3357	4934	3643	3962	6646	11241	13609	14835	11221
sgPTMS_4	PTMS	4013	3494	3715	3306	3782	2536	5288	2977	8366	5991
sgPTMS_5	PTMS	3090	1128	2680	1859	4858	4262	3202	1401	6629	5398
sgPTPN22_1	PTPN22	18213	8043	9362	8472	21761	15081	13529	11005	16018	18619
sgPTPN22_2	PTPN22	6230	4593	4683	6536	10481	9691	14778	8524	13408	12784
sgPTPN22_3	PTPN22	3948	5413	2395	2890	1459	8713	5680	10264	5188	5002
sgPTPN22_4	PTPN22	3256	6151	4149	3990	5182	9708	10460	4057	7739	10902
sgPTPN22_5	PTPN22	2138	1904	2735	2704	4687	3610	3316	2015	2457	5127
sgRYR1_1	RYR1	4557	3015	4401	4274	3653	8935	7071	7654	9234	8348
sgRYR1_2	RYR1	3382	4404	3994	3227	5098	8579	9691	3455	14221	12074
sgRYR1_3	RYR1	5292	3523	3995	4004	5223	3477	8567	7041	10735	8988
sgRYR1_4	RYR1	4559	4618	3919	3445	2332	2162	8817	6800	7723	6893
sgRYR1_5	RYR1	4853	7348	5493	6228	7781	19391	9412	5913	16432	9319
sgSERPINE1_1	SERPINE1	2673	1023	2267	2082	2292	3425	6599	3123	7369	5235
sgSERPINE1_2	SERPINE1	2374	4998	4568	3640	6413	9857	7181	3889	10694	6434
sgSERPINE1_3	SERPINE1	7947	5657	11117	7301	14183	10045	12678	6136	12599	12684
sgSERPINE1_4	SERPINE1	7404	3408	3550	2795	4360	6366	7028	2521	6663	8382
sgSERPINE1_5	SERPINE1	14480	8771	6351	5618	6834	6289	17317	10819	17722	15695
sgSH3BGRL2_1	SH3BGRL2	12373	7510	7136	5839	8414	19686	12450	9142	16867	13995
sgSH3BGRL2_2	SH3BGRL2	10186	5149	6357	4992	12322	11694	8801	3813	14060	13520
sgSH3BGRL2_3	SH3BGRL2	1174	2148	2982	2684	5837	2961	7685	3923	10191	7347
sgSH3BGRL2_4	SH3BGRL2	4707	6104	5273	5728	11138	24045	9030	5599	13518	11534
sgSH3BGRL2_5	SH3BGRL2	3748	4852	5182	4809	7385	5024	9044	4881	10277	11305
sgSHC4_1	SHC4	2399	2950	5288	3850	9549	5045	4702	4973	12345	8642
sgSHC4_2	SHC4	16374	11725	14269	10793	22171	20064	17977	9580	21727	21950
sgSHC4_3	SHC4	7651	6101	7677	6200	5334	6688	13273	8778	20042	15232
sgSHC4_4	SHC4	4476	4052	5436	4884	7640	5614	6441	4743	13802	10856
sgSHC4_5	SHC4	9504	6601	4188	4876	6106	5771	6392	7595	14516	8893
sgSLC29A1_1	SLC29A1	5743	3832	5632	3632	4417	3631	5614	6103	15699	6678
sgSLC29A1_2	SLC29A1	2205	2658	2812	2364	4495	29866	6819	4587	11457	6922
sgSLC29A1_3	SLC29A1	8839	3256	3923	3717	9952	7036	4921	2839	7518	3273
sgSLC29A1_4	SLC29A1	13610	7691	8766	6193	8002	13812	17113	8381	18703	18956
sgSLC29A1_5	SLC29A1	1801	1283	1962	2008	2695	1679	3469	3200	4722	4430
sgSNX9_1	SNX9	5874	1524	1787	2157	2852	589	4548	5727	4274	2857
sgSNX9_2	SNX9	3802	4263	6778	4017	10313	8027	10148	5576	13452	12408
sgSNX9_3	SNX9	2280	2768	7869	4531	4743	8168	9338	10049	18319	11130
sgSNX9_4	SNX9	4304	3139	3773	2708	2069	3709	6194	3597	9366	4063
sgSNX9_5	SNX9	6841	6144	6552	6310	12107	10734	15263	11635	16341	14159
sgSPRY1_1	SPRY1	7209	3963	6157	4578	8761	8176	8051	4839	18290	11897
sgSPRY1_2	SPRY1	7976	5680	8514	7155	15568	12266	13712	14171	21873	13429
sgSPRY1_3	SPRY1	3180	2914	4559	2902	6131	7068	4817	5328	12920	9142
sgSPRY1_4	SPRY1	5712	4108	5003	4207	8152	10483	5762	5003	8713	5703
sgSPRY1_5	SPRY1	4480	4935	7376	7793	15686	9987	10431	9158	11927	15393
sgSRGAP3_1	SRGAP3	11558	9266	10722	8710	19368	18295	17134	16917	18432	18486
sgSRGAP3_2	SRGAP3	5774	4313	5386	5155	16028	7223	7435	4210	13280	17628
sgSRGAP3_3	SRGAP3	4451	3470	7886	5330	4089	4009	9337	7660	5437	7251
sgSRGAP3_4	SRGAP3	12163	6760	4978	5562	8101	10684	11571	10982	20906	14749
sgSRGAP3_5	SRGAP3	6805	6354	6570	5760	2873	2247	15172	10112	13828	15704
sgXCL2_1	XCL2	3717	7111	8216	6691	14675	14042	14304	15942	16257	17634
sgXCL2_2	XCL2	13095	11046	8299	9867	32144	15040	23422	18159	31002	28059
sgXCL2_3	XCL2	9092	8947	9925	11093	20719	19535	13943	16866	26890	21028
sgXCL2_4	XCL2	10374	6262	5402	6126	1523	3023	15368	9486	15230	10776
sgXCL2_5	XCL2	5613	4820	5030	7326	12279	23088	13390	4218	20881	14948
sgZAP70_1	ZAP70	4830	3238	2208	2826	9335	10968	3948	11781	6227	13234
sgZAP70_2	ZAP70	4313	4344	2767	3205	10893	16888	7622	19341	3555	9403
sgZAP70_3	ZAP70	2401	2538	2752	2661	4059	4430	7942	11613	6583	9924
sgZAP70_4	ZAP70	2728	9265	2436	4750	3295	6876	4441	8878	4652	8564
sgZAP70_5	ZAP70	2445	2501	1423	5165	1552	24428	4977	19900	1505	7824
