ENTREZID	SYMBOL	logFC.Tex	FDR	nr_overlaps	exhausted_CD8_scRNAcluster_HCC_Zheng2017_human	exhausted_signature_CD8_NSCLC_up_Guo2018_human	exhaustion_associated_variable_Tirosh2016_human	exhaustion_consistent_core_up_Tirosh2016_human	exhaustion_Mel75_up_Tirosh2016_human	PD1high_CD8_TILs_vs_EM_blood_up_Thommen2018_human	PD1high_CD8_TILs_vs_PD1int_low_TILS_up_Thommen2018_human	PD1int_CD8_TILs_vs_EM_blood_up_Thommen2018_human	PD1neg_CD8_TILs_vs_EM_blood_up_Thommen2018_human	tumor_specific_TILs_vs_tumor_specific_blood_up_Baitsch2011_human	selectedHit
10663	CXCR6	0.247354243178799	6.75294271675773e-06	5	1	1	0	0	0	1	1	1	0	0	FALSE
4345	CD200	1.49102877254183	8.96952184817135e-06	5	0	0	0	1	1	1	1	1	0	0	FALSE
8645	KCNK5	1.04691925607636	1.78516760451392e-05	5	0	0	0	1	0	1	1	1	1	0	FALSE
84937	ZNRF1	-1.25577009407635	2.85018099775559e-05	5	0	0	0	0	0	1	1	1	1	1	FALSE
55423	SIRPG	1.66492259549745	6.4975636299976e-05	5	1	1	1	0	0	0	1	0	0	1	FALSE
9232	PTTG1	-0.344540971015913	7.30368359584544e-05	5	0	1	0	0	0	1	1	1	1	0	FALSE
1164	CKS2	-0.121936461946098	7.95964704321854e-05	5	0	1	1	0	0	1	0	1	1	0	FALSE
3516	RBPJ	0.899657803162743	0.000109200979291354	5	0	1	1	0	0	1	1	1	0	0	FALSE
3108	HLA-DMA	0.186086834975582	0.000252349135189105	5	1	0	0	1	1	1	1	0	0	0	FALSE
54	ACP5	0.911932662319699	0.000396789511233065	5	1	1	0	0	0	1	1	1	0	0	FALSE
64218	SEMA4A	0.52477950885808	0.000408232405691074	5	0	0	1	0	1	1	1	1	0	0	FALSE
8784	TNFRSF18	0.253421722435574	0.00148135491935948	5	0	1	0	0	0	1	1	1	1	0	FALSE
3122	HLA-DRA	-0.870505319365767	0.00211821817916655	5	1	1	0	0	0	1	0	1	1	0	FALSE
586	BCAT1	-1.43461747643959	9.27730587461809e-08	4	0	0	0	0	0	1	1	1	1	0	FALSE
7421	VDR	1.31028897281237	9.71655249257609e-08	4	0	0	0	0	0	1	1	1	1	0	FALSE
11001	SLC27A2	0.302520643738739	1.17937341025693e-07	4	0	0	0	0	0	1	1	1	1	0	FALSE
4602	MYB	1.60364276668782	1.17937341025693e-07	4	0	0	0	0	0	1	1	1	1	0	FALSE
7167	TPI1	-0.331702169547897	3.10837944582629e-07	4	1	1	1	0	1	0	0	0	0	0	FALSE
6713	SQLE	0.0921580339540459	4.87275082067864e-07	4	0	0	0	0	0	1	1	1	1	0	FALSE
11315	PARK7	0.159954329426092	8.77583689600669e-07	4	1	1	0	1	0	0	1	0	0	0	FALSE
1869	E2F1	-1.70650453622152	9.69565592804101e-07	4	0	0	0	0	0	1	1	1	1	0	FALSE
79413	ZBED2	-3.10219791796897	1.65596063325393e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
483	ATP1B3	-0.132673704363122	1.87465620230616e-06	4	0	0	0	1	0	1	0	1	1	0	FALSE
91319	DERL3	-1.95977898075564	2.47798934767727e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
857	CAV1	2.40308412046284	3.00793876402432e-06	4	0	0	1	0	0	1	0	1	1	0	FALSE
1111	CHEK1	-1.1651119647479	3.38572253546401e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
9134	CCNE2	-2.26790763493748	4.77621202443767e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
2494	NR5A2	3.59189405717133	6.52039780023876e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
29995	LMCD1	1.86215946803576	7.23636001834403e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
29089	UBE2T	-0.737214608029447	7.40821356205161e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
3162	HMOX1	3.13873902283169	8.04595525506754e-06	4	0	0	0	0	0	1	1	1	1	0	FALSE
467	ATF3	-1.5817490595152	1.02826519646084e-05	4	0	0	0	0	0	1	0	1	1	1	FALSE
10221	TRIB1	1.66727447477908	1.19713876523354e-05	4	0	0	0	0	0	1	0	1	1	1	FALSE
1293	COL6A3	2.75280606545935	1.57697547973367e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
2769	GNA15	-1.34401020082675	1.58055502452214e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
54806	AHI1	1.41659749545566	1.77504087275521e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
1138	CHRNA5	0.00623062620629412	1.84222783027723e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
6659	SOX4	2.37640757385939	1.92082488453244e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
85463	ZC3H12C	3.15947014876131	1.96902769991118e-05	4	0	0	0	0	0	1	1	1	0	1	FALSE
27033	ZBTB32	0.403349989147737	2.64687468326456e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
7037	TFRC	0.0273909525642551	3.76121832380512e-05	4	0	0	1	0	0	1	0	1	1	0	FALSE
5888	RAD51	-1.16198976450298	7.43138094794708e-05	4	0	0	0	0	0	1	1	1	1	0	FALSE
79632	FAM184A	-0.513203777400294	0.000145106711345804	4	0	0	0	0	0	1	1	1	1	0	FALSE
6790	AURKA	-0.473601276408624	0.000224212019364374	4	0	0	0	0	0	1	1	1	1	0	FALSE
374393	FAM111B	-2.38007123080419	0.000236240219889699	4	0	0	0	0	0	1	1	1	1	0	FALSE
3672	ITGA1	1.05287474893044	0.000283030092786266	4	0	0	0	0	0	1	0	1	1	1	FALSE
63967	CLSPN	-1.96411521645655	0.000306062900477674	4	0	0	0	0	0	1	1	1	1	0	FALSE
58476	TP53INP2	0.755246061672544	0.000331940329732136	4	0	0	0	0	0	1	0	1	1	1	FALSE
4605	MYBL2	-1.37015629314031	0.000425446894884632	4	0	0	0	0	0	1	1	1	1	0	FALSE
79895	ATP8B4	0.970671777074811	0.000488740753890078	4	0	0	0	0	0	1	1	1	1	0	FALSE
942	CD86	1.24427320413015	0.000491045495635929	4	0	0	0	0	0	1	1	1	1	0	FALSE
9319	TRIP13	-1.36461665056425	0.00050552646989191	4	0	0	0	0	0	1	1	1	1	0	FALSE
1959	EGR2	-1.09239747918326	0.000659970992084221	4	0	0	0	1	0	1	0	1	1	0	FALSE
699	BUB1	-0.662698065262168	0.000710284243471858	4	0	0	0	0	0	1	1	1	1	0	FALSE
3161	HMMR	-0.349330849144816	0.00135051706304622	4	0	0	0	0	0	1	1	1	1	0	FALSE
81620	CDT1	-0.393319140594174	0.00140033949507342	4	0	0	0	0	0	1	1	1	1	0	FALSE
9435	CHST2	1.75755226422899	0.00165637821632476	4	0	0	0	0	0	1	1	1	1	0	FALSE
28984	RGCC	-0.112588758230379	0.0019413581512292	4	0	0	1	0	0	1	0	1	1	0	FALSE
9055	PRC1	-0.629603791305447	0.00262851742840602	4	0	0	0	0	0	1	1	1	1	0	FALSE
55247	NEIL3	-0.792038511203723	0.00264126235355623	4	0	0	0	0	0	1	1	1	1	0	FALSE
9133	CCNB2	-0.210977186065704	0.00273418629977196	4	0	0	0	0	0	1	1	1	1	0	FALSE
23397	NCAPH	-0.356625522537564	0.00297579959047877	4	0	0	0	0	0	1	1	1	1	0	FALSE
9787	DLGAP5	-0.421031357541229	0.00301436507795382	4	0	0	0	0	0	1	1	1	1	0	FALSE
113130	CDCA5	-1.06911753587952	0.00317649367701155	4	0	0	0	0	0	1	1	1	1	0	FALSE
11004	KIF2C	-0.344214435062719	0.00350829695746308	4	0	0	0	0	0	1	1	1	1	0	FALSE
9088	PKMYT1	-1.22166740687338	0.00352535871579802	4	0	0	0	0	0	1	1	1	1	0	FALSE
29127	RACGAP1	-0.568624870872805	0.00530339566873474	4	0	0	0	0	0	1	1	1	1	0	FALSE
3119	HLA-DQB1	-0.972940607499549	0.00537076580301289	4	0	0	0	0	1	1	0	1	1	0	FALSE
157313	CDCA2	-0.638533852148928	0.00909235855099038	4	0	0	0	0	0	1	1	1	1	0	FALSE
56992	KIF15	-0.604499630302175	0.00938249092793969	4	0	0	0	0	0	1	1	1	1	0	FALSE
157506	RDH10	2.38823158083585	9.16545700728361e-08	3	0	0	0	0	0	1	1	0	0	1	FALSE
60386	SLC25A19	-0.775577282896864	1.25258322627488e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
6319	SCD	-0.515985620121345	1.76411797168224e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
10797	MTHFD2	-0.304910333692643	2.22437374027224e-07	3	1	0	0	0	0	1	0	1	0	0	FALSE
79094	CHAC1	-0.527919003295353	2.89308680851344e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
4678	NASP	-0.489240675251724	3.29370961175384e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
3939	LDHA	-0.816612687508719	3.55867995631316e-07	3	0	0	0	0	1	0	0	1	1	0	FALSE
2207	FCER1G	2.97289417505506	3.66786746187438e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
5932	RBBP8	-0.442304845045683	4.49890982307062e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
130589	GALM	0.733262786622007	4.97856956535913e-07	3	1	1	0	0	0	0	0	0	0	1	FALSE
1017	CDK2	-0.693742020281636	5.19655176997853e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
384	ARG2	0.778282985153914	5.44890676880104e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
7453	WARS1	-0.504086397459875	5.69570094321393e-07	3	1	0	0	1	1	0	0	0	0	0	FALSE
1368	CPM	1.98672469343099	5.78451561816467e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
920	CD4	1.81900686230868	6.15404224317147e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
27075	TSPAN13	1.50145082184465	6.24542909051141e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
80824	DUSP16	1.23822554715196	6.24542909051141e-07	3	0	0	0	0	0	1	1	0	0	1	FALSE
5360	PLTP	3.05113615587136	7.50103501596802e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
51308	REEP2	1.35757992295576	8.49924713851926e-07	3	0	0	0	0	0	1	1	1	0	0	FALSE
2717	GLA	-0.0489388877508843	9.25935178935199e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
57695	USP37	-0.607203659603581	9.40998871973897e-07	3	0	0	0	0	0	1	0	1	1	0	FALSE
8444	DYRK3	-0.456613200419214	1.19394190435781e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
10963	STIP1	-0.530119716580892	1.32537988031648e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
374654	KIF7	1.91360246923918	1.33165249840016e-06	3	0	0	0	0	0	1	1	1	0	0	FALSE
6566	SLC16A1	-0.0586660404900151	1.44110805126668e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
84930	MASTL	-0.557877203949404	1.82695032743655e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
5066	PAM	1.32940247314908	1.86101879507202e-06	3	0	0	1	0	1	0	1	0	0	0	FALSE
23603	CORO1C	0.573921840123487	2.31540999867351e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
1026	CDKN1A	-3.4400163302293	2.75818295154985e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
441478	NRARP	0.342530587911097	3.75180546041445e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
1317	SLC31A1	0.0178477131351338	3.80830735630971e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
8013	NR4A3	-1.30195445437241	3.84429830594309e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
23413	NCS1	-1.18729123140158	3.96724533047644e-06	3	0	0	0	0	0	1	1	1	0	0	FALSE
6510	SLC1A5	-0.527614293857984	3.96955076379838e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
9447	AIM2	1.29712892938662	4.05837755767105e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
6617	SNAPC1	-0.595671159325795	5.26488131481383e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
22876	INPP5F	1.0576574646958	5.4808253531516e-06	3	0	0	0	1	0	1	1	0	0	0	FALSE
64857	PLEKHG2	0.394549398636795	5.56318142695963e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
333	APLP1	-0.126648086570461	5.95918084679193e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
8727	CTNNAL1	-0.864307591683274	6.931240269227e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
25824	PRDX5	0.179513611881862	7.59876478657393e-06	3	1	1	0	0	0	0	0	0	0	1	FALSE
28231	SLCO4A1	-0.4705724170942	7.6865149643893e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
6375	XCL1	-0.751634753751018	8.06351980193402e-06	3	0	0	0	0	0	1	0	1	1	0	FALSE
10135	NAMPT	-0.0950784980640488	1.04851976620778e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
25932	CLIC4	-1.03562865242675	1.09306937245135e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
125061	AFMID	0.157026607443151	1.12884341195465e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
80176	SPSB1	1.43112136847158	1.15664623347025e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
6004	RGS16	-2.98848656849105	1.34270207946633e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
84879	MFSD2A	-2.03569205570491	1.45163390066194e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
116028	RMI2	-0.907459028476995	1.64847238441104e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
10457	GPNMB	-0.0288968816846863	1.78929304342331e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
6385	SDC4	-0.372172274540156	2.17207801895921e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
6676	SPAG4	-0.0902870908828925	2.42399342697237e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
494143	CHAC2	-1.42033253151906	2.50607833041523e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
4000	LMNA	-1.96078849848649	2.83427468167133e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
84557	MAP1LC3A	0.236956443845814	3.11006900581042e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
2650	GCNT1	0.752209391397946	3.7019034729228e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
10808	HSPH1	-0.942980239696244	3.7725944518114e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
25841	ABTB2	0.854646208417256	3.9455038151048e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
2180	ACSL1	0.308633962085732	3.9536193850234e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
1130	LYST	0.990726333829022	4.18302134959711e-05	3	1	0	1	0	1	0	0	0	0	0	FALSE
3111	HLA-DOA	0.236423629906625	4.23250537448023e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
9156	EXO1	-1.37374480781751	4.51982416192071e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
1509	CTSD	0.320374900231984	4.59215389269345e-05	3	1	1	0	0	0	1	0	0	0	0	FALSE
3164	NR4A1	-0.500142569324311	4.60056396492027e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
7292	TNFSF4	-0.391112211764617	4.93419741650964e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
137994	LETM2	0.704546846886491	5.25113570227931e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
705	BYSL	-1.65685987052562	5.4598794255031e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
3949	LDLR	-0.861926447277954	6.2561765333696e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
3306	HSPA2	-0.281940975089476	6.56004624885086e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
55388	MCM10	-1.94781410727221	6.95139294038252e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
6303	SAT1	0.970157813474349	7.03807829509886e-05	3	0	0	0	0	0	0	0	1	1	1	FALSE
729533	FAM72A	-0.0183714446323948	7.55534334004772e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
5376	PMP22	1.46695696186892	9.59053005093877e-05	3	0	0	0	0	0	1	0	1	1	0	FALSE
701	BUB1B	-0.102437814051305	9.76574031252281e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
5154	PDGFA	0.70871601132407	9.89747644849578e-05	3	0	0	0	0	0	1	1	1	0	0	FALSE
115908	CTHRC1	2.6642062111331	0.000128893386256024	3	0	0	0	0	0	1	0	1	1	0	FALSE
7205	TRIP6	0.529565962751079	0.000132239614911239	3	0	0	0	0	0	1	0	1	1	0	FALSE
122786	FRMD6	0.0130367270950313	0.000132400130477003	3	0	0	0	0	0	1	0	1	1	0	FALSE
162073	ITPRIPL2	1.41479551788514	0.000137102768783609	3	0	0	0	0	0	1	0	1	1	0	FALSE
79442	LRRC2	1.84417267090836	0.000176639584361379	3	0	0	0	0	0	1	0	1	1	0	FALSE
50615	IL21R	0.672758376511761	0.000180791522833323	3	0	0	0	0	0	1	0	1	1	0	FALSE
7077	TIMP2	1.39344845663846	0.000192502956034821	3	0	0	0	0	0	1	0	1	1	0	FALSE
387103	CENPW	-1.06294488236776	0.000217984290117346	3	0	0	0	0	0	1	1	1	0	0	FALSE
389792	IER5L	1.4227727270071	0.000228198151863287	3	0	0	0	0	0	1	0	1	1	0	FALSE
4001	LMNB1	-0.637994049056858	0.000242695724782185	3	0	0	0	0	0	1	0	1	1	0	FALSE
8676	STX11	-1.15397942741384	0.000251938084101163	3	0	0	0	0	0	1	0	1	1	0	FALSE
51330	TNFRSF12A	-0.761926984956611	0.000278066805214469	3	0	0	0	0	0	1	0	1	1	0	FALSE
27338	UBE2S	-0.49838618616327	0.000331076631312811	3	0	0	0	0	0	1	0	1	1	0	FALSE
3665	IRF7	1.35532294376094	0.000359319914983155	3	0	0	0	0	0	1	0	1	1	0	FALSE
54913	RPP25	0.133577950697768	0.000431774688015221	3	0	0	0	0	0	1	0	1	1	0	FALSE
7216	TRO	1.78894171437181	0.000438023312172213	3	0	0	0	0	0	1	0	1	1	0	FALSE
5328	PLAU	1.28967903089138	0.000506302346486709	3	0	0	0	0	0	1	0	1	1	0	FALSE
7298	TYMS	-1.37282595685195	0.000559632391285212	3	0	0	0	0	0	1	1	1	0	0	FALSE
23643	LY96	1.17969828187831	0.000566609479204495	3	0	0	0	0	0	1	0	1	1	0	FALSE
2175	FANCA	-0.0577564701388912	0.0005758760734137	3	0	0	0	0	0	1	0	1	1	0	FALSE
55635	DEPDC1	-0.560774433091832	0.000605468608401159	3	0	0	0	0	0	1	1	1	0	0	FALSE
7083	TK1	-1.10601312492599	0.000681176826050192	3	0	0	0	0	0	1	1	1	0	0	FALSE
1437	CSF2	-0.0560319068572145	0.000766657657439826	3	0	0	0	0	0	1	0	1	1	0	FALSE
9833	MELK	-0.997194539813754	0.000801303585804245	3	0	0	0	0	0	1	1	1	0	0	FALSE
6491	STIL	-0.937015558836538	0.000958912454845021	3	0	0	0	0	0	1	1	1	0	0	FALSE
84969	TOX2	1.99450044112828	0.00133255164635952	3	0	0	0	0	0	1	1	1	0	0	FALSE
4599	MX1	1.83386612129144	0.00145257299353098	3	0	0	0	0	0	1	0	1	1	0	FALSE
10855	HPSE	0.903427319315404	0.00160143254776047	3	0	0	0	0	0	1	0	1	1	0	FALSE
968	CD68	0.890197800930941	0.00172724702881991	3	0	0	0	0	0	1	0	1	1	0	FALSE
983	CDK1	-0.706044998955011	0.00197099398631879	3	0	0	0	0	0	1	1	1	0	0	FALSE
5209	PFKFB3	0.313228785068757	0.00212911541198582	3	0	0	0	0	0	1	0	1	1	0	FALSE
83648	FAM167A	0.0662353928687541	0.00220486320521366	3	0	0	0	0	0	1	0	1	1	0	FALSE
91614	DEPDC7	0.46740707231731	0.00234134125280341	3	0	0	0	0	0	1	0	1	1	0	FALSE
81930	KIF18A	-0.345641631654285	0.00251230713183592	3	0	0	0	0	0	1	0	1	1	0	FALSE
8744	TNFSF9	0.633254340797582	0.0025410095129371	3	0	0	0	0	0	1	0	1	1	0	FALSE
3732	CD82	0.336423872256094	0.00259599302125094	3	0	1	0	0	0	1	1	0	0	0	FALSE
90427	BMF	1.07677141234664	0.00266370793385145	3	0	0	0	0	0	1	0	1	1	0	FALSE
79019	CENPM	-0.546721236481454	0.00343335112647184	3	0	0	0	0	0	1	1	1	0	0	FALSE
221468	TMEM217	-0.545259232218118	0.00357947224859003	3	0	0	0	0	0	1	0	1	1	0	FALSE
153020	RASGEF1B	-0.757151275756471	0.00362914005380044	3	0	0	0	0	0	1	0	1	1	0	FALSE
64151	NCAPG	-0.619278291585435	0.00392787813751761	3	0	0	0	0	0	1	1	1	0	0	FALSE
1890	TYMP	0.487540007934101	0.00483094495653073	3	0	0	0	0	0	1	0	1	1	0	FALSE
9212	AURKB	-0.332161271753321	0.00486341007695097	3	0	0	0	0	0	1	1	1	0	0	FALSE
64410	KLHL25	-0.758601605959904	0.00553246052704841	3	0	0	0	0	0	1	0	1	1	0	FALSE
27333	GOLIM4	0.571533724634583	0.00623483880959908	3	0	0	0	0	0	1	1	1	0	0	FALSE
27132	CPNE7	1.11170572649144	0.00641309817829324	3	0	0	0	0	0	1	0	1	1	0	FALSE
332	BIRC5	-0.551893970658291	0.00710419355708056	3	0	0	0	0	0	1	1	1	0	0	FALSE
