SYMBOL	ES
TRAPPC1	0.18 
NDUFA13	0.18 
CD3G	0.18 
RORA	0.18 
ATP5F1	0.18 
FASLG	0.18 
GPR34	0.18 
DDAH2	0.18 
IVNS1ABP	0.18 
SCUBE1	0.18 
COPE	0.18 
NDUFA1	0.18 
CSTB	0.18 
PRELID1	0.18 
LAT	0.18 
PDE4A	0.18 
PSMA4	0.18 
TNFRSF1B	0.18 
MZT2A	0.18 
NEDD8	0.18 
PTTG1	0.18 
CDC42	0.18 
PSMA6	0.18 
B2M	0.18 
FERMT3	0.18 
TMEM14B	0.18 
CTSW	0.18 
SERF2	0.18 
SNRPB2	0.18 
PARP8	0.18 
NDUFA6	0.18 
CD101	0.18 
REL	0.18 
GUK1	0.18 
UBE2N	0.18 
SERBP1	0.18 
UBE2L3	0.17 
GSTK1	0.17 
SEC61G	0.17 
GRAP2	0.17 
PRNP	0.17 
PDIA3	0.17 
LAPTM5	0.17 
PRF1	0.17 
SNRPG	0.17 
H3F3A	0.17 
ARF5	0.17 
DENND1B	0.17 
PPP1CB	0.17 
SOCS1	0.17 
NR3C1	0.17 
CALR	0.17 
ATP10D	0.17 
ETF1	0.17 
ENSA	0.17 
GPR35	0.17 
IDS	0.17 
CALM3	0.17 
SCP2	0.17 
PRDX5	0.17 
MAP4	0.17 
COX5B	0.17 
PRKAR1A	0.17 
ADA	0.17 
ABI3	0.17 
TALDO1	0.17 
HCLS1	0.17 
SLC2A3	0.17 
ATP6V0E1	0.17 
PSMB9	0.17 
POLR1E	0.17 
SLC16A3	0.17 
CXCR4	0.17 
MDH2	0.17 
ACAP1	0.17 
CHCHD10	0.17 
RAN	0.17 
PPIA	0.17 
OASL	0.17 
SDCBP	0.17 
DUSP5	0.17 
PSMA5	0.17 
CD55	0.16 
HLA-DRB1	0.16 
PSMB10	0.16 
ITM2B	0.16 
SRP14	0.16 
GNAI2	0.16 
ARHGEF7	0.16 
UQCRQ	0.16 
HSPA9	0.16 
NAMPT	0.16 
SYTL2	0.16 
CCR5	0.16 
SEPT11	0.16 
LPIN1	0.16 
RAB8B	0.16 
ACOT7	0.16 
CD8B	0.16 
ATP6V0E2	0.16 
UQCRH	0.16 
PRDX6	0.16 
PREX1	0.16 
RASAL3	0.16 
P2RY10	0.16 
LINC-PINT	0.16 
TBC1D10C	0.16 
FAM177A1	0.16 
PPDPF	0.16 
DYNLT1	0.16 
TSEN54	0.16 
PYCARD	0.16 
METTL9	0.16 
HSPA5	0.16 
STOM	0.16 
CDKN1A	0.16 
BUB3	0.16 
ROMO1	0.16 
IL18RAP	0.16 
SRGAP3	0.16 
RGS9	0.16 
YWHAE	0.16 
LAMTOR5	0.16 
HNRNPA3	0.16 
PSMD8	0.16 
JMJD6	0.16 
RCAN3	0.16 
CD58	0.16 
NDUFS6	0.16 
NDUFB3	0.16 
GSTP1	0.16 
DUSP10	0.16 
ARL4C	0.16 
PARVG	0.16 
HLA-DRB5	0.16 
LCP2	0.16 
VASP	0.16 
ARPC4	0.16 
TMCO1	0.16 
RPS27L	0.16 
COMMD7	0.16 
PSMB2	0.16 
GPRIN3	0.16 
HNRNPK	0.16 
AKAP13	0.16 
GALNT6	0.16 
SLC27A2	0.16 
BZW1	0.16 
DEF6	0.16 
MSH3	0.16 
PAG1	0.16 
THBS1	0.15 
CLSTN3	0.15 
TLN1	0.15 
BAK1	0.15 
ACTR2	0.15 
ATP6V1F	0.15 
HLA-A	0.15 
CCL4	0.15 
MRPL41	0.15 
DOCK5	0.15 
MAP3K8	0.15 
ARRB2	0.15 
AHNAK	0.15 
UBE2D2	0.15 
MDH1	0.15 
OCIAD2	0.15 
ANAPC11	0.15 
DIAPH1	0.15 
TOMM5	0.15 
USP36	0.15 
SSR4	0.15 
RBX1	0.15 
RAB27A	0.15 
NDUFA12	0.15 
CPNE7	0.15 
HNRNPF	0.15 
NFKBIZ	0.15 
STAT4	0.15 
HNRNPUL1	0.15 
SUMO1	0.15 
CD38	0.15 
ADAM8	0.15 
KLF6	0.15 
BTG1	0.15 
AKIRIN2	0.15 
HMOX2	0.15 
CELF2	0.15 
RALY	0.15 
CASS4	0.15 
